asset_id,type,tool,prompt_summary,iterations,manual_edit_minutes,main_problems,godot_import_notes,final_path
bg_mine_800x450,bg,"ChatGPT Image Generation (OpenAI)","Spooky abandoned mine background, cool lighting, fog, depth layers, 800x450",4,3,"needed stronger depth layering; minor edge cleanup","Filter OFF; Mipmaps OFF; Compression Lossless","assets_ai/processed/bg_mine_800x450.png"
bgm_spooky_mine_loop,music,"Mureka AI Music Generator","Spooky ambient chiptune mine loop, minor key, dripping echoes, no vocals",3,6,"loop seam/clicks; volume balancing","Loop ON; Normalize/Trim; avoid clipping (music lower than SFX)","assets_ai/processed/bgm_spooky_mine_loop.ogg"
sfx_shoot_bubble,sfx,"ElevenLabs","Short bubble blow 'puff' with airy pop, 0.2-0.4s, no tail",3,2,"too loud at first; needed trimming","Loop OFF; Normalize (peak ~ -6dB); Trim silence","assets_ai/processed/sfx_shoot_bubble.ogg"
sfx_jump_grunt,sfx,"ElevenLabs","Cartoony miner jump grunt 'hm!', 0.15-0.25s, clean",3,2,"timing/length inconsistent; needed re-trim","Loop OFF; Normalize (peak ~ -6dB); Trim silence","assets_ai/processed/sfx_jump_grunt.ogg"
sfx_hurt_ouch,sfx,"ElevenLabs","Cartoon hurt voice 'ow/aah', 0.2-0.5s, clean",3,2,"harsh transient; needed slight fade-out","Loop OFF; Normalize (peak ~ -6dB); Trim silence","assets_ai/processed/sfx_hurt_ouch.ogg"
sfx_bubble_pop,sfx,"ElevenLabs","Crisp bubble pop with tiny sparkle, 0.1-0.2s, no long tail",3,2,"pop had click; needed micro fade","Loop OFF; Normalize (peak ~ -6dB); Trim silence","assets_ai/processed/sfx_bubble_pop.ogg"
sfx_ghost_dissolve,sfx,"ElevenLabs","Eerie soft whoosh + whisper fade, ghost vapor dissolve, 0.2-0.4s",3,2,"overlapped with pop; required timing adjustment in Level01","Loop OFF; Normalize (peak ~ -6dB); Trim silence","assets_ai/processed/sfx_ghost_dissolve.ogg"
player_idle_sheet_4f_64,sprite_sheet,"ChatGPT Image Generation (OpenAI)","Miner idle 4-frame pixel animation, consistent silhouette, transparent bg",7,10,"sprite sheet alignment mismatch; converted to per-frame PNGs; baseline alignment","Filter OFF; Mipmaps OFF; Compression Lossless","assets_ai/processed/player_idle_1.png|assets_ai/processed/player_idle_2.png|assets_ai/processed/player_idle_3.png|assets_ai/processed/player_idle_4.png"
player_run_sheet_4f_64,sprite_sheet,"ChatGPT Image Generation (OpenAI)","Miner run 4-frame cycle, consistent with idle, transparent bg",8,10,"sheet alignment mismatch; converted to per-frame PNGs; flip direction handling in code","Filter OFF; Mipmaps OFF; Compression Lossless","assets_ai/processed/player_run_1.png|assets_ai/processed/player_run_2.png|assets_ai/processed/player_run_3.png|assets_ai/processed/player_run_4.png"
enemy_shadow_run_sheet_4f_64,sprite_sheet,"ChatGPT Image Generation (OpenAI)","Shadow enemy run 4-frame cycle, clear silhouette, purple highlights, glowing eyes",6,8,"needed clearer silhouette; flip direction initially reversed; ensured animation plays in runtime","Filter OFF; Mipmaps OFF; Compression Lossless","assets_ai/processed/enemy_shadow_run_1.png|assets_ai/processed/enemy_shadow_run_2.png|assets_ai/processed/enemy_shadow_run_3.png|assets_ai/processed/enemy_shadow_run_4.png"
projectile_dream_bubble_sheet_3f_32,sprite_sheet,"ChatGPT Image Generation (OpenAI)","Dream bubble projectile 3-frame loop, swirls + sparkles, 32x32, transparent bg",5,5,"outer bubble jitter; ensured consistent outline across frames","Filter OFF; Mipmaps OFF; Compression Lossless","assets_ai/processed/projectile_dream_bubble_1.png|assets_ai/processed/projectile_dream_bubble_2.png|assets_ai/processed/projectile_dream_bubble_3.png"
tileset_stone_32,tileset,"ChatGPT Image Generation (OpenAI)","Stone mine tileset grid with edges/corners/cracks, consistent palette",10,15,"tile seams/edge mismatch; required manual seam fixes; ensured correct tile size for TileMap","Filter OFF; Mipmaps OFF; Compression Lossless","assets_ai/processed/tileset_stone.png"
